Author	Title	Tags	Directory
P. G. Wodehouse	Psmith, Journalist	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, 1915	fiction
John Buchan	Mr Standfast	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Adventure, 1915	fiction
Arthur Conan Doyle	The Hound of the Baskervilles	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, Le-Mondes-100-Books-of-the-Century, 1902, English	fiction
George Eliot	Middlemarch	Family-Friendship, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1871	fiction
Charles Dickens	Our Mutual Friend	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1865, Class-Society	fiction
Herman Melville	Bartleby, the Scrivener	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, 1853, American	fiction
Anne Brontë	The Tenant of Wildfell Hall	Family-Friendship, Fiction, British, 1848, BBC-100-Most-Inspiring-Novels, Novel	fiction
Mary Shelley	Frankenstein	Life-Death-Other-Worlds, Fiction, British, Literature, BBC-100-Most-Inspiring-Novels, novel, Novel, 1823, 1819, 1818, 1820, 1821, 1822, science fiction	fiction
Walter Scott	Ivanhoe	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Adventure, 1819	fiction
Jane Austen	Pride and Prejudice	Fiction, British, Literature, BBC-100-Most-Inspiring-Novels, Novel, 1813, 1815, 1814, 1817, 1816, 1819, 1818, Love-Sex-Romance	fiction
